GEO,LEG_FORM,INDIC_SB,NACE_R2\TIME	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
European Union (aggregate changing according to the context),Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	12.26 b	2.10	2.39	1.33	-0.01	2.29	1.22
Bulgaria,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	20.78	-1.15	-1.21	1.19	1.16	1.62	1.92
Czech Republic,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	11.10	3.86	2.08	-0.24	-1.92	5.52	0.42
Denmark,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-4.77	1.12	2.58	0.00	-0.82	0.77	:
Germany (until 1990 former territory of the FRG),Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-1.18	0.73	0.91	0.41	-0.85	-5.17	-0.81
Estonia,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.52	-3.34	2.67	5.30	4.36 b	1.46	2.85
Ireland,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-1.89	-1.91	-3.26	-1.86	:	:	4.45
Greece,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	-1.78 p
Spain,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.82	-2.89	-1.47	-1.44	-2.01	-0.27	0.92
France,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	5.49	1.60	1.02	2.07	4.67 b	7.34	2.27
Croatia,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	-1.35	0.66	-0.43
Italy,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-1.39	-0.32	-0.37	-0.43	-1.25	-1.47	-0.69
Cyprus,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.91	-10.31	-0.87	0.22	-3.45	-0.49	:
Latvia,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.16	3.65	6.44	6.47	3.59	4.08	9.24
Lithuania,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-13.64	-0.47	9.23	14.30	4.86	12.37	4.61
Luxembourg,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.04	3.47	3.28	2.13	3.78	3.38	2.11
Hungary,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.78	0.71	-0.97	-5.94	-1.68	1.19	1.74
Malta,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	-0.65	-4.26	-2.97	4.42 b	0.95
Netherlands,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	7.52	4.86	0.96	4.41	2.71	1.03	2.29	3.45
Austria,Total,Net business population growth - percentage,Business economy except activities of holding companies	2.88	22.22 b	3.40	2.40	2.13	0.82	0.45	-0.13 b	-2.76	-1.39 p
Poland,Total,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.11	2.45	1.36	0.31	1.27	0.50	1.71
